team,season,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,xGoalsPercentage,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,shotAttemptsFor,goalsFor,penaltiesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,xGoalsAgainst,shotsOnGoalAgainst,shotAttemptsAgainst,goalsAgainst,penaltiesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,goalDifferential,season_end,tm_season,next_year_pts_perc
VAN,2008-09,82,45,27,10,100,0.61,37,42,3,2.96,2.6,18.8,81.4,17.4,83.3,28.5,29.2,0.51,0.5,0.49,228.25,2299,4276,242,484,2412,1294,575,652,215.95,2360,4290,208,489,2255,1549,559,641,34,2009,VAN_2009,0.628
MTL,2008-09,82,41,30,11,93,0.567,30,34,7,2.95,2.93,19.3,82.4,16.3,85.1,30,31.7,0.5,0.49,0.49,237.09,2461,4660,242,487,2467,1974,646,965,240.31,2601,4917,240,484,2382,1827,613,897,2,2009,MTL_2009,0.537
WSH,2008-09,82,50,24,8,108,0.659,40,46,4,3.27,2.93,25.2,80.6,22,82.4,33.5,29.5,0.54,0.54,0.53,258.7,2748,5145,268,445,2467,1662,766,1011,220.94,2418,4440,240,394,2308,1728,705,867,28,2009,WSH_2009,0.738
BUF,2008-09,82,41,32,9,91,0.555,31,33,8,2.95,2.79,21,81.9,19.6,83.9,30.5,31.4,0.51,0.49,0.49,216.07,2507,4424,242,430,2239,1458,454,871,211.38,2575,4611,229,445,2484,1615,526,806,13,2009,BUF_2009,0.61
FLA,2008-09,82,41,30,11,93,0.567,34,38,3,2.82,2.72,16.6,82.6,13.6,84.9,29.4,34.7,0.48,0.47,0.46,227.85,2412,4399,231,365,2291,1562,494,602,247.38,2844,4988,223,368,2492,1718,479,572,8,2009,FLA_2009,0.47
DAL,2008-09,82,36,35,11,83,0.506,25,30,6,2.73,3.06,15.4,78.6,14.3,79.2,28.9,28.1,0.49,0.51,0.51,210.28,2370,4332,224,435,2120,2076,663,794,222.56,2304,4243,251,446,2313,2187,583,831,-27,2009,DAL_2009,0.537
SJS,2008-09,82,53,18,11,117,0.713,43,47,6,3.06,2.43,24.2,83.3,21.1,87.3,33.2,27.2,0.57,0.55,0.55,257.29,2720,4892,251,398,2472,2042,573,836,193.71,2228,4012,199,451,2124,1948,505,758,52,2009,SJS_2009,0.689
CBJ,2008-09,82,41,31,10,92,0.561,30,35,6,2.68,2.72,12.7,82.1,9,84.4,28.9,27.8,0.5,0.51,0.51,190.74,2371,4231,220,446,2398,1919,507,380,191.01,2281,4130,223,435,2283,2071,401,492,-3,2009,CBJ_2009,0.482
LAK,2008-09,82,34,37,11,79,0.482,26,29,5,2.46,2.76,19.2,82.9,16.9,84,29.1,28.1,0.51,0.51,0.51,225.29,2383,4590,202,462,2370,2128,464,928,220.77,2302,4377,226,461,2189,2009,474,925,-24,2009,LAK_2009,0.616
ARI,2008-09,82,36,39,7,79,0.482,32,33,3,2.5,3.04,14.5,76.8,13.4,78.5,28.1,31.6,0.47,0.46,0.47,195.56,2269,4157,200,387,2066,1793,381,402,223.8,2555,4808,248,433,2531,1771,445,498,-48,2009,ARI_2009,0.652
TOR,2008-09,82,34,35,13,81,0.494,24,28,6,2.98,3.49,18.8,74.7,16.7,76.6,31.7,30.3,0.49,0.5,0.51,240.65,2573,4850,242,408,2359,1736,586,841,249.21,2459,4792,283,422,2346,1923,691,849,-41,2009,TOR_2009,0.451
ANA,2008-09,82,42,33,7,91,0.555,30,35,7,2.9,2.87,23.6,79.7,21,81.3,30.3,30.5,0.51,0.5,0.5,227.6,2481,4336,238,521,2299,1758,476,671,222.71,2500,4279,235,432,2316,1678,502,636,3,2009,ANA_2009,0.543
PIT,2008-09,82,45,28,9,99,0.604,33,39,6,3.15,2.84,17.2,82.7,13.6,84.7,29,30.3,0.51,0.48,0.49,228.4,2381,4376,258,439,2310,1939,468,653,221.91,2484,4722,233,442,2395,2007,479,568,25,2009,PIT_2009,0.616
BOS,2008-09,82,53,19,10,116,0.707,46,49,4,3.29,2.32,23.6,82.4,21.4,85,30.3,30.8,0.51,0.5,0.5,223.59,2460,4409,267,393,2360,1792,495,478,216.03,2495,4365,188,398,2266,1875,512,623,79,2009,BOS_2009,0.555
NSH,2008-09,82,40,34,8,88,0.537,28,34,6,2.52,2.78,15.7,82.5,13.2,85.2,29,29.4,0.47,0.5,0.5,198.45,2375,4274,207,408,2556,1671,698,655,219.56,2411,4352,228,382,2340,1467,682,711,-21,2009,NSH_2009,0.61
NJD,2008-09,82,51,27,4,106,0.646,36,45,6,2.9,2.52,18.9,79.9,17.6,83.6,32.9,29.5,0.53,0.53,0.53,223.22,2698,4690,238,417,2360,1448,431,474,198.59,2415,4174,207,402,2242,1465,479,570,31,2009,NJD_2009,0.628
NYI,2008-09,82,26,47,9,61,0.372,20,23,3,2.41,3.34,16.9,79.8,15.3,83.1,28.9,33.5,0.45,0.46,0.46,208.97,2373,4419,198,446,2180,1828,858,714,251.2,2751,5216,274,413,2595,1562,742,822,-76,2009,NYI_2009,0.482
MIN,2008-09,82,40,33,9,89,0.543,32,35,5,2.61,2.4,20.1,87.6,18.3,90.7,27.5,30.7,0.48,0.48,0.48,188.02,2258,4147,214,353,2223,1468,440,630,202.35,2518,4500,197,394,2361,1443,443,582,17,2009,MIN_2009,0.512
CGY,2008-09,82,46,30,6,98,0.598,40,43,3,3.06,3,17,83.4,12.9,85.1,32.2,29.8,0.51,0.54,0.52,230.08,2611,4829,248,464,2424,1531,531,695,218.72,2402,4106,242,473,2291,1521,574,644,6,2009,CGY_2009,0.549
DET,2008-09,82,51,21,10,112,0.683,42,45,6,3.52,2.93,25.5,78.3,24.4,80.1,36.2,27.7,0.55,0.58,0.57,254.14,2926,5096,285,370,2593,1457,443,603,210.66,2242,3754,237,403,2121,1686,518,549,48,2009,DET_2009,0.622
COL,2008-09,82,32,45,5,69,0.421,20,23,9,2.32,3.09,15.7,79.9,13.2,81.1,28.8,29,0.49,0.47,0.48,203.61,2359,4184,190,398,2199,1462,661,698,215.48,2376,4709,253,397,2401,1379,669,672,-63,2009,COL_2009,0.579
STL,2008-09,82,41,31,10,92,0.561,31,35,6,2.77,2.77,20.5,83.8,18.2,86.6,27.7,28.5,0.5,0.48,0.49,203.66,2271,4151,227,464,2291,1611,491,496,206.89,2342,4477,227,459,2378,1651,448,532,0,2009,STL_2009,0.549
NYR,2008-09,82,43,30,9,95,0.579,30,33,10,2.44,2.59,13.9,87.8,9.8,90.6,32.4,29.7,0.5,0.53,0.52,226.58,2719,5011,204,448,2364,2378,613,481,223.2,2490,4433,215,471,2292,2225,660,509,-11,2009,NYR_2009,0.53
TBL,2008-09,82,24,40,18,66,0.402,19,21,3,2.52,3.28,17.8,78,15.2,79,28.5,32.9,0.48,0.47,0.47,219.18,2367,4198,210,494,2367,1874,576,710,237.54,2738,4805,272,432,2350,1462,569,693,-62,2009,TBL_2009,0.488
CHI,2008-09,82,46,24,12,104,0.634,36,42,4,3.17,2.55,19.3,80.6,17.6,83.6,32.7,28.6,0.52,0.54,0.54,231.4,2683,4535,260,411,2195,1520,488,414,210.42,2344,3894,209,445,2369,1652,482,506,51,2009,CHI_2009,0.683
OTT,2008-09,82,36,35,11,83,0.506,29,32,4,2.6,2.82,19.5,81.5,18,83.8,29.3,28.5,0.5,0.5,0.5,214.88,2434,4365,214,437,2385,1958,660,752,217.06,2364,4419,232,426,2222,1897,615,832,-18,2009,OTT_2009,0.573
EDM,2008-09,82,38,35,9,85,0.518,31,32,6,2.78,2.98,17,77.5,14.7,78.4,28.1,32.5,0.48,0.47,0.47,219.89,2303,4273,228,451,2283,1393,556,1038,241.97,2668,4771,244,466,2481,1460,718,936,-16,2009,EDM_2009,0.378
WPG,2008-09,82,35,41,6,76,0.463,24,28,7,3.05,3.4,19.3,76,16.5,79.5,28.1,32.7,0.47,0.47,0.47,220.88,2371,4231,255,481,2548,1418,758,686,251.59,2745,4844,285,476,2431,1239,656,600,-30,2009,WPG_2009,0.506
CAR,2008-09,82,45,30,7,97,0.591,35,42,3,2.88,2.7,18.7,80.4,16.3,83.1,32.6,29.5,0.5,0.52,0.52,240.81,2675,5028,236,352,2433,1716,665,504,237.2,2419,4635,221,423,2309,1955,652,573,15,2009,CAR_2009,0.488
PHI,2008-09,82,44,27,11,99,0.604,34,40,4,3.17,2.83,22.5,83,22.2,87,29.8,32.5,0.49,0.48,0.48,220.18,2441,4506,260,525,2379,1712,645,908,231.19,2668,4951,232,457,2543,1608,681,848,28,2009,PHI_2009,0.537
ARI,2009-10,82,50,25,7,107,0.652,31,36,14,2.57,2.39,14.7,84.5,12.4,85.5,30.5,29.6,0.51,0.51,0.5,210.87,2504,4575,211,365,2279,1802,404,420,204.58,2427,4409,196,359,2283,1924,424,579,15,2010,ARI_2010,0.604
NSH,2009-10,82,47,29,6,100,0.61,33,39,8,2.65,2.7,16.4,77.1,14.3,79.1,30.6,29.2,0.5,0.52,0.52,215.69,2508,4615,217,300,2306,1419,677,787,215.69,2396,4265,221,337,2382,1419,709,765,-4,2010,NSH_2010,0.604
EDM,2009-10,82,27,47,8,62,0.378,18,19,8,2.51,3.39,17.3,78,15.6,80,28.3,33.1,0.45,0.45,0.45,218.63,2321,4243,206,409,2170,1566,544,1055,262.28,2717,5179,278,403,2507,1454,647,995,-72,2010,EDM_2010,0.378
STL,2009-10,82,40,32,10,90,0.549,30,33,7,2.66,2.66,16.9,86.8,15,88.9,29.8,30.2,0.48,0.5,0.5,215.86,2445,4531,218,466,2352,1760,547,548,229.93,2474,4517,218,437,2464,1724,532,625,0,2010,STL_2010,0.53
BOS,2009-10,82,39,30,13,91,0.555,25,29,10,2.39,2.33,16.6,86.4,15.1,88.6,31.7,29.8,0.52,0.53,0.52,209.4,2599,4686,196,350,2441,1935,387,475,193.17,2445,4210,191,350,2199,1904,472,575,5,2010,BOS_2010,0.628
DET,2009-10,82,44,24,14,102,0.622,33,38,6,2.72,2.52,19.2,83.9,18.9,86.9,33.4,29.4,0.54,0.55,0.54,240.66,2737,5015,223,315,2340,1972,580,805,204.58,2413,4162,207,357,2240,2127,587,809,16,2010,DET_2010,0.634
MTL,2009-10,82,39,33,10,88,0.537,24,32,7,2.56,2.66,21.8,83,18.8,84.2,28.6,32.1,0.49,0.47,0.47,225.44,2346,4489,210,399,2285,1542,562,910,237.62,2634,5005,218,348,2312,1726,518,894,-8,2010,MTL_2010,0.585
WSH,2009-10,82,54,15,13,121,0.738,43,49,5,3.82,2.77,25.2,78.8,22.7,80.1,32.8,30.9,0.52,0.53,0.52,262.95,2693,5198,313,368,2538,1731,658,760,238.31,2535,4670,227,363,2389,1783,651,762,86,2010,WSH_2010,0.652
COL,2009-10,82,43,30,9,95,0.579,34,36,7,2.89,2.78,18.1,80.2,15.2,82.8,27.9,32.1,0.49,0.45,0.46,219.46,2288,3994,237,390,2165,1568,684,646,231.07,2629,4845,228,403,2370,1622,593,606,9,2010,COL_2010,0.415
BUF,2009-10,82,45,27,10,100,0.61,35,41,4,2.82,2.45,17.6,86.6,16.6,88,31.6,31.4,0.5,0.5,0.5,229.82,2588,4564,231,364,2269,1388,480,821,228.74,2574,4541,201,384,2396,1684,471,779,30,2010,BUF_2010,0.585
FLA,2009-10,82,32,37,13,77,0.47,24,26,6,2.46,2.85,14.2,79.4,11.7,81.9,28.4,34.1,0.44,0.45,0.46,200.36,2331,4255,202,357,2323,1810,514,512,252.39,2802,5230,234,388,2335,1890,514,538,-32,2010,FLA_2010,0.439
CBJ,2009-10,82,32,35,15,79,0.482,27,30,2,2.61,3.04,18.2,81.7,15.3,83.5,28.5,30.7,0.47,0.48,0.47,186.35,2338,4053,214,419,2324,2075,396,387,205.94,2515,4475,249,391,2234,1857,471,451,-35,2010,CBJ_2010,0.494
NYR,2009-10,82,38,33,11,87,0.53,34,35,3,2.67,2.61,18.3,84.3,16,85.9,29.6,29.9,0.48,0.49,0.5,222.05,2425,4525,219,419,2235,2330,592,453,236.38,2450,4619,214,391,2310,2325,534,532,5,2010,NYR_2010,0.567
NJD,2009-10,82,48,27,7,103,0.628,40,42,6,2.63,2.27,18.7,82.9,16.9,85.8,30,27,0.53,0.52,0.53,214.02,2459,4217,216,314,2098,1600,486,695,192.63,2213,3924,186,349,2146,1860,568,535,30,2010,NJD_2010,0.494
WPG,2009-10,82,35,34,13,83,0.506,29,31,4,2.8,3.05,16.1,82.2,14.9,85,29.4,33.1,0.45,0.48,0.47,208.45,2410,4349,230,420,2449,1469,820,676,256.61,2717,4672,250,415,2368,1377,716,530,-20,2010,WPG_2010,0.488
TOR,2009-10,82,30,38,14,74,0.451,21,26,4,2.56,3.21,14,74.7,11.8,76,32.6,29.8,0.51,0.52,0.52,253.65,2671,5171,210,389,2381,1777,579,761,240.28,2441,4698,263,421,2303,1856,665,876,-53,2010,TOR_2010,0.518
CGY,2009-10,82,40,32,10,90,0.549,35,37,3,2.45,2.48,16,82.3,15.3,84.9,28.7,28.9,0.5,0.51,0.5,201.14,2351,4572,201,418,2237,1708,580,724,203.81,2372,4400,203,378,2424,1609,544,732,-2,2010,CGY_2010,0.573
SJS,2009-10,82,51,20,11,113,0.689,43,44,7,3.13,2.55,21,85,18.1,87.5,31.7,31.4,0.52,0.51,0.51,249.23,2604,4867,257,434,2636,1934,563,810,231.13,2571,4634,209,413,2104,1997,576,755,48,2010,SJS_2010,0.64
PHI,2009-10,82,41,35,6,88,0.537,35,37,4,2.83,2.71,21.5,83,18.9,84.8,31.6,28.6,0.53,0.51,0.52,255.08,2589,4789,232,487,2415,1807,559,664,226.61,2348,4525,222,474,2408,1686,615,683,10,2010,PHI_2010,0.646
NYI,2009-10,82,34,37,11,79,0.482,20,26,8,2.61,3.15,16,76.3,15,78.7,30.4,31.9,0.5,0.48,0.49,238.16,2494,4625,214,369,2261,1829,948,809,242.24,2619,5017,258,381,2426,1872,833,826,-44,2010,NYI_2010,0.445
MIN,2009-10,82,38,36,8,84,0.512,28,33,5,2.61,2.91,19.1,82.7,14.9,84,27.6,29.5,0.5,0.49,0.49,203.15,2266,4205,214,375,2455,1746,462,633,200.31,2414,4427,239,370,2247,1536,434,620,-25,2010,MIN_2010,0.524
CAR,2009-10,82,35,37,10,80,0.488,26,31,4,2.76,3.06,16.9,80.6,14.5,82.8,29.3,31.4,0.48,0.49,0.48,243.43,2373,4570,224,378,2294,2091,645,554,265.18,2536,4775,249,382,2478,1793,622,571,-25,2010,CAR_2010,0.555
TBL,2009-10,82,34,36,12,80,0.488,25,30,4,2.6,3.09,19.3,80.1,17.5,80.7,28.9,31.4,0.49,0.48,0.48,235.48,2367,4237,213,476,2442,1650,510,639,248.19,2575,4622,253,469,2296,1558,535,635,-40,2010,TBL_2010,0.628
CHI,2009-10,82,52,22,8,112,0.683,37,43,9,3.2,2.48,17.7,85.3,16.3,90.2,34.1,25.1,0.57,0.56,0.57,248.64,2799,4979,262,340,2340,1555,683,550,190.17,2058,3866,203,376,2126,1901,554,515,59,2010,CHI_2010,0.591
PIT,2009-10,82,47,28,7,101,0.616,33,39,8,3.04,2.87,17.2,84.1,14.7,86.2,32.8,28.7,0.52,0.52,0.53,239.57,2651,4864,247,442,2324,2122,385,620,217.44,2321,4463,233,430,2387,1842,434,528,14,2010,PIT_2010,0.646
DAL,2009-10,82,37,31,14,88,0.537,28,30,7,2.8,2.98,18.6,77.4,16.2,80.6,30.8,31.2,0.5,0.49,0.49,229.75,2524,4598,230,368,2210,2338,624,728,226.52,2560,4771,244,405,2382,2267,540,697,-14,2010,DAL_2010,0.579
ANA,2009-10,82,39,32,11,89,0.543,31,34,5,2.84,2.96,21,79.3,18,81.8,30.1,33.4,0.46,0.48,0.47,218.89,2471,4361,233,469,2187,2050,447,633,259.16,2737,4771,243,430,2363,1763,548,661,-10,2010,ANA_2010,0.604
VAN,2009-10,82,49,28,5,103,0.628,41,45,4,3.27,2.66,20.9,81.6,19.1,84.4,30.9,29.5,0.52,0.52,0.52,234.05,2534,4672,268,446,2434,1499,570,578,212.39,2419,4320,218,449,2304,1715,544,587,50,2010,VAN_2010,0.713
LAK,2009-10,82,46,27,9,101,0.616,32,36,10,2.82,2.57,20.9,80.3,18.9,81.6,29.1,27.6,0.51,0.51,0.51,228.36,2389,4393,231,386,2279,2122,417,815,220.32,2261,4268,211,400,2224,2094,474,763,20,2010,LAK_2010,0.598
OTT,2009-10,82,44,32,6,94,0.573,34,39,5,2.68,2.84,16.9,84.3,15.5,86.2,29.7,28.5,0.52,0.5,0.51,225.99,2438,4483,220,414,2293,1939,701,757,210.89,2340,4415,233,393,2355,1969,679,801,-13,2010,OTT_2010,0.451
NSH,2010-11,82,44,27,11,99,0.604,36,38,6,2.6,2.32,15.2,84.9,14.5,86.8,28.8,30.6,0.5,0.49,0.48,204.12,2362,4280,213,309,2352,1684,716,732,203.23,2510,4434,190,308,2333,1656,657,739,23,2011,NSH_2011,0.634
DET,2010-11,82,47,25,10,104,0.634,34,43,4,3.13,2.89,22.3,82.3,19.9,84,33.6,30.7,0.53,0.54,0.53,247.67,2757,5002,257,329,2540,1794,569,734,218.85,2514,4344,237,333,2350,1963,600,647,20,2011,DET_2011,0.622
LAK,2010-11,82,46,30,6,98,0.598,35,36,10,2.55,2.39,16.1,85.5,14,87,28.8,27.9,0.52,0.52,0.51,212.52,2363,4653,209,342,2407,2127,451,856,195.28,2288,4286,196,363,2301,2345,436,813,13,2011,LAK_2011,0.579
NYR,2010-11,82,44,33,5,93,0.567,32,35,9,2.73,2.38,16.9,83.7,15.2,87.9,29.9,29.4,0.53,0.49,0.51,233.69,2453,4472,224,364,2195,2333,604,446,206.24,2410,4606,195,401,2404,2218,554,559,29,2011,NYR_2011,0.665
COL,2010-11,82,30,44,8,68,0.415,18,24,6,2.7,3.5,18.5,76.1,14.3,78.7,29.2,31.8,0.47,0.47,0.47,219.65,2394,4254,221,392,2436,1726,684,574,242.96,2609,4816,287,348,2375,1703,715,527,-66,2011,COL_2011,0.537
PHI,2010-11,82,47,23,12,106,0.646,41,44,3,3.12,2.63,16.6,82.8,14.9,86.9,31.8,30.1,0.52,0.5,0.51,246.12,2605,4764,256,402,2484,1905,568,655,223.1,2471,4803,216,381,2454,1777,639,663,40,2011,PHI_2011,0.628
NYI,2010-11,82,30,39,13,73,0.445,19,26,4,2.74,3.15,17.2,83.2,14.9,88.1,29.4,32,0.47,0.47,0.47,230.93,2409,4513,225,435,2438,1808,876,757,257.92,2620,5105,258,431,2424,1593,754,766,-33,2011,NYI_2011,0.482
OTT,2010-11,82,32,40,10,74,0.451,28,30,2,2.32,2.99,17.5,83.7,16,85.7,29,31.2,0.46,0.49,0.48,204.12,2381,4380,190,402,2293,1658,642,734,237.18,2559,4626,245,360,2217,1794,679,795,-55,2011,OTT_2011,0.561
BUF,2010-11,82,43,29,10,96,0.585,28,38,5,2.93,2.78,19.4,83,14.7,83.7,32.8,30.7,0.5,0.5,0.5,229.41,2690,4689,240,385,2252,1505,564,693,228.85,2514,4690,228,355,2472,1741,539,702,12,2011,BUF_2011,0.543
DAL,2010-11,82,42,29,11,95,0.579,32,37,5,2.71,2.76,18,80.1,13.1,83.8,27.7,30.5,0.48,0.49,0.49,207.09,2269,4440,222,376,2386,2212,638,711,222.6,2504,4692,226,404,2390,2266,546,723,-4,2011,DAL_2011,0.543
WPG,2010-11,82,34,36,12,80,0.488,19,29,5,2.66,3.2,18.3,77.5,14.9,79.7,31.5,32.2,0.47,0.49,0.5,218.21,2581,4656,218,341,2311,1512,825,621,245.6,2638,4849,262,355,2431,1683,723,608,-44,2011,WPG_2011,0.512
NJD,2010-11,82,38,39,5,81,0.494,28,35,3,2.09,2.52,14.4,83.4,11,84.7,28.6,26.2,0.5,0.52,0.52,184.3,2344,4149,171,291,2186,1539,513,703,182.94,2152,3762,207,291,2085,1585,503,500,-36,2011,NJD_2011,0.622
TOR,2010-11,82,37,34,11,85,0.518,30,32,5,2.6,2.99,16,77.5,13.5,79.3,28.8,31,0.48,0.49,0.48,219.93,2360,4720,213,363,2371,2048,584,902,240.28,2540,4953,245,404,2328,1896,668,835,-32,2011,TOR_2011,0.488
CHI,2010-11,82,44,29,9,97,0.591,34,38,6,3.07,2.68,23.1,79.2,21.7,81.6,32.2,28.7,0.51,0.52,0.53,225.23,2637,4728,252,296,2414,1824,764,620,213.95,2354,4325,220,321,2337,2215,651,570,32,2011,CHI_2011,0.616
ANA,2010-11,82,47,30,5,99,0.604,34,43,4,2.87,2.84,23.5,81.3,21.1,83.6,28.5,32.3,0.46,0.45,0.46,203.31,2334,4093,235,402,2206,1936,446,628,240.39,2649,5042,233,386,2421,1797,528,742,2,2011,ANA_2011,0.488
STL,2010-11,82,38,33,11,87,0.53,31,34,4,2.88,2.78,18.6,81.7,18.3,84.2,30.2,27.7,0.51,0.52,0.52,218.3,2475,4675,236,408,2180,1958,477,405,209.62,2275,4287,228,403,2428,1872,530,559,8,2011,STL_2011,0.665
ARI,2010-11,82,43,26,13,99,0.604,36,38,5,2.76,2.68,15.9,78.4,13.8,80.1,30.3,32.6,0.48,0.49,0.48,216.64,2486,4658,226,356,2551,1881,472,542,234.78,2673,4827,220,345,2406,1844,488,488,6,2011,ARI_2011,0.591
CBJ,2010-11,82,34,35,13,81,0.494,24,29,5,2.56,3.05,14,80.3,10.3,82.2,30.6,29.8,0.5,0.51,0.51,208.42,2506,4613,210,413,2459,2316,521,380,206.97,2447,4424,250,407,2345,1699,504,462,-40,2011,CBJ_2011,0.396
FLA,2010-11,82,30,40,12,72,0.439,20,26,4,2.33,2.71,13.1,84.6,11.2,86.1,30.4,31.8,0.5,0.49,0.49,220.27,2493,4609,191,298,2409,1895,563,474,224.08,2610,4734,222,304,2230,2245,523,486,-31,2011,FLA_2011,0.573
CGY,2010-11,82,41,29,12,94,0.573,30,32,9,2.94,2.8,19.5,81.2,16.7,83.7,30.5,28.5,0.53,0.52,0.52,223.23,2502,4742,241,344,2350,1664,578,805,198.47,2338,4466,230,371,2531,1599,685,760,11,2011,CGY_2011,0.549
PIT,2010-11,82,49,25,8,106,0.646,34,39,10,2.78,2.39,15.8,86.1,13.8,90.1,31.5,28.7,0.52,0.53,0.52,222.08,2582,4841,228,463,2329,2280,444,507,202.79,2352,4309,196,443,2403,2012,482,494,32,2011,PIT_2011,0.659
SJS,2010-11,82,48,25,9,105,0.64,38,43,5,2.96,2.54,23.5,79.6,21.1,81.8,34.5,28.9,0.56,0.54,0.55,258.69,2832,5250,243,351,2582,1801,680,822,199.77,2369,4420,208,357,2224,1976,577,779,35,2011,SJS_2011,0.585
MIN,2010-11,82,39,35,8,86,0.524,31,36,3,2.48,2.78,18.2,82.8,15.8,85.1,26.2,32,0.45,0.46,0.45,196.64,2148,4008,203,375,2408,1865,536,605,235.99,2625,4764,228,352,2337,1706,492,580,-25,2011,MIN_2011,0.494
BOS,2010-11,82,46,25,11,103,0.628,43,44,2,2.98,2.3,16.2,82.6,14.3,86.8,32.9,32.7,0.49,0.51,0.5,226.06,2696,4923,244,376,2485,1736,424,542,232.15,2683,4791,189,365,2306,1956,623,659,55,2011,BOS_2011,0.622
WSH,2010-11,82,48,23,11,107,0.652,34,43,5,2.67,2.33,17.5,85.6,15.6,88,31.3,29,0.53,0.52,0.52,235.06,2566,4870,219,364,2534,1885,657,693,208.92,2375,4575,191,334,2372,1893,567,662,28,2011,WSH_2011,0.561
EDM,2010-11,82,25,45,12,62,0.378,21,23,2,2.33,3.17,14.5,77,13.8,79.4,26.7,31.7,0.45,0.46,0.45,204.51,2189,4180,191,419,2036,1794,621,972,254.89,2597,4860,260,405,2575,1610,805,962,-69,2011,EDM_2011,0.451
VAN,2010-11,82,54,19,9,117,0.713,46,50,4,3.15,2.2,24.3,85.6,23.7,87.5,32,30.1,0.53,0.53,0.52,242.41,2624,4901,258,381,2653,1791,596,555,218.63,2470,4435,180,365,2183,1860,593,629,78,2011,VAN_2011,0.677
MTL,2010-11,82,44,30,8,96,0.585,36,41,3,2.6,2.51,19.7,84.4,17.6,85.9,31.7,31,0.49,0.51,0.51,224.34,2602,4849,213,405,2309,1658,519,738,229.46,2538,4736,206,380,2403,1858,533,672,7,2011,MTL_2011,0.476
